"datetime","deployment","pm10.avg","wd","ws"
2015-12-11 02:00:00,"T29-4N",42.79195,87.97634,3.233708544
2015-12-11 03:00:00,"T29-4N",36.34121,91.54151,3.42969088
2015-12-11 04:00:00,"T29-4N",37.1435,41.56624,2.547770368
2015-12-11 05:00:00,"T29-4N",12.61841,92.72484,6.85938176
2015-12-11 06:00:00,"T29-4N",29.28776,117.3668,5.781478912
2015-12-11 07:00:00,"T29-4N",11.9716,130.9578,1.273885184
2015-12-11 08:00:00,"T29-4N",9.097008,350.1303,6.85938176
2015-12-11 09:00:00,"T29-4N",59.00705,319.886,10.485054976
2015-12-11 10:00:00,"T29-4N",22.52787,307.6257,2.547770368
2015-12-11 11:00:00,"T29-4N",2.777225,289.3685,0.293973504
2015-12-11 12:00:00,"T29-4N",21.5577,112.4146,1.273885184
2015-12-11 13:00:00,"T29-4N",6.852198,232.0592,2.841743872
2015-12-11 14:00:00,"T29-4N",6.374806,331.3943,5.781478912
2015-12-11 15:00:00,"T29-4N",1.388441,321.583,10.975010816
2015-12-11 16:00:00,"T29-4N",39.67609,314.2814,8.32924928
2015-12-11 17:00:00,"T29-4N",10.77826,313.7786,11.26898432
2015-12-11 18:00:00,"T29-4N",9.802719,1.881198,4.605584896
2015-12-11 19:00:00,"T29-4N",6.530278,1.163828,2.93973504
2015-12-11 20:00:00,"T29-4N",4.37425,327.5993,7.055364096
2015-12-11 21:00:00,"T29-4N",4.478101,353.4506,6.85938176
2015-12-11 22:00:00,"T29-4N",5.285078,354.3934,6.467417088
2015-12-11 23:00:00,"T29-4N",4.223005,335.4644,7.937284608
2015-12-12 00:00:00,"T29-4N",4.180456,349.983,5.781478912
2015-12-12 01:00:00,"T29-4N",3.312096,341.4439,9.015187456
2015-12-12 02:00:00,"T29-4N",4.138076,337.649,5.585496576
2015-12-12 03:00:00,"T29-4N",4.318865,345.2735,6.761390592
2015-12-12 04:00:00,"T29-4N",3.652728,352.1806,5.977461248
2015-12-12 05:00:00,"T29-4N",9.462494,344.3047,5.977461248
2015-12-12 06:00:00,"T29-4N",5.770835,337.9264,6.467417088
2015-12-12 07:00:00,"T29-4N",5.835744,11.87018,4.8995584
2015-12-12 08:00:00,"T29-4N",5.514544,336.2771,9.7991168
2015-12-12 09:00:00,"T29-4N",10.80346,335.1501,10.093090304
2015-12-12 10:00:00,"T29-4N",8.464278,333.399,12.248896
2015-12-12 11:00:00,"T29-4N",11.74777,342.1093,8.32924928
2015-12-12 12:00:00,"T29-4N",7.480558,340.8523,6.957372928
2015-12-12 13:00:00,"T29-4N",5.692111,307.1142,6.663399424
2015-12-12 14:00:00,"T29-4N",4.823662,323.8543,6.075452416
2015-12-12 15:00:00,"T29-4N",3.779212,332.3847,5.683487744
2015-12-12 16:00:00,"T29-4N",7.097211,322.4239,3.037726208
