"data.id.x","datetime","dca.group","teom.uw","ws.uw","wd.uw","pm10.uw","teom.dw","ws.dw","wd.dw","pm10.dw","day","ws.avg"
158222,2016-01-26 05:00:00,"north (T29)","T29-4N",4.213620224,333.3188,4.32889556666667,"T29-4S",4.8995584,334.8987,4.34740316666667,26,4.556589312
157437,2016-01-28 13:00:00,"north (T29)","T29-4N",0.587947008,319.3832,1.50373335,"T29-4S",0.587947008,321.2795,1.88890388333333,28,0.587947008
157449,2016-01-29 01:00:00,"north (T29)","T29-4N",1.763841024,325.833,6.3701925,"T29-4S",1.175894016,336.8839,6.53961716666667,29,1.46986752
157494,2016-01-30 22:00:00,"north (T29)","T29-4N",4.997549568,322.7576,2.92053066666667,"T29-4S",6.36942592,327.7792,2.6802528,30,5.683487744
157513,2016-01-31 17:00:00,"north (T29)","T29-4N",7.83929344,322.4759,2.61311716666667,"T29-4S",8.721213952,318.3234,1.82971418333333,31,8.280253696
148475,2016-01-03 02:00:00,"south (T2 & T3)","T2-1",0.881920512,192.6494,7.1083375,"T7",1.174,202,5.495,3,1.027960256
149425,2016-01-04 19:00:00,"south (T2 & T3)","T2-1",1.665849856,203.0935,11.4709271666667,"T7",3.19,205.5,8.26,4,2.427924928
149433,2016-01-05 03:00:00,"south (T2 & T3)","T2-1",7.643311104,212.5081,17.037665,"T7",5.109,194.8,15.18,5,6.376155552
149434,2016-01-05 04:00:00,"south (T2 & T3)","T2-1",7.153355264,193.7504,15.11819,"T7",4.372,197.9,18.65,5,5.762677632
149476,2016-01-06 22:00:00,"south (T2 & T3)","T2-1",3.723664384,194.5046,2.03560435,"T7",6.554,199.8,0.806,6,5.138832192
149577,2016-01-11 03:00:00,"south (T2 & T3)","T2-1",1.665849856,197.9029,3.27579775,"T7",1.843,198.9,2.142,11,1.754424928
157982,2016-01-24 07:00:00,"south (T2 & T3)","T2-1",1.46986752,196.2644,4.59720033333333,"T7",2.059,204.8,0,24,1.76443376
157996,2016-01-24 21:00:00,"south (T2 & T3)","T2-1",1.273885184,191.8323,4.7565595,"T7",0.892,205.5,0,24,1.082942592
1285012,2016-01-02 11:00:00,"south (T2 & T3)","T7",2.049,19.42,3.765,"T2-1",2.253796864,26.96528,4.95830133333333,2,2.151398432
1285415,2016-01-03 06:00:00,"south (T2 & T3)","T7",1.39,26,5.637,"T2-1",0.293973504,30.98558,8.542416,3,0.841986752
1285418,2016-01-03 09:00:00,"south (T2 & T3)","T7",0.868,12.03,7.64,"T2-1",1.077902848,23.49763,9.17889716666667,3,0.972951424
1285419,2016-01-03 10:00:00,"south (T2 & T3)","T7",0.907,14.94,8.41,"T2-1",0.293973504,28.52572,8.74411133333333,3,0.600486752
1286978,2016-01-11 15:00:00,"south (T2 & T3)","T7",0.994,12.61,16.1,"T2-1",1.175894016,27.57212,5.3688785,11,1.084947008
1289101,2016-01-15 02:00:00,"south (T2 & T3)","T7",4.93,11.82,1.49,"T2-1",6.761390592,23.67969,7.0230915,15,5.845695296
1296392,2016-01-29 15:00:00,"south (T2 & T3)","T7",2.301,20.13,3.773,"T2-1",0.97991168,23.84223,5.4790293442623,29,1.64045584
1295922,2016-01-31 01:00:00,"south (T2 & T3)","T7",2.279,27.23,0.703,"T2-1",4.40960256,25.20545,2.84100913559322,31,3.34430128
